index,id,title,group,layout,source,job
1,hosts,Hosts,01 · Hosts & access,page,Hosts,Choose a machine.
2,hosts-empty,Hosts,01 · Hosts & access,page,Hosts: empty,Connect the first host.
3,add-host,Add host,01 · Hosts & access,sheet,HostForm / QrScan,Choose a setup method.
4,host-form,Connection details,01 · Hosts & access,page,HostForm,Enter and test connection details.
5,connecting,Connecting,01 · Hosts & access,page,ConnectGate,Understand that a connection attempt is in progress.
6,trust,Verify server,01 · Hosts & access,sheet,ConnectGate: TrustPromptSheet,Confirm the server identity.
7,qr-scan,Scan host,01 · Hosts & access,page,QrScan,Import host details.
8,qr-review,Review import,01 · Hosts & access,page,QrScan: review,Review a scanned host.
9,keys,SSH keys,01 · Hosts & access,page,SshKeys,Select or manage authentication.
10,key-import,Import key,01 · Hosts & access,page,SshKeys: import,Import existing authentication.
11,key-generate,Generate key,01 · Hosts & access,page,SshKeys: generate,Create a device key.
12,key-detail,Laptop key,01 · Hosts & access,page,SshKeys: details,Use or inspect a key.
13,delete-key,Remove key?,01 · Hosts & access,sheet,SshKeys: delete,Remove local authentication safely.
14,unlock,Unlock key,01 · Hosts & access,sheet,Key unlock / Android BiometricPrompt,Authenticate without reconfiguring the host.
15,workspaces,hetzner,02 · Workspaces & roots,page,Tree → new workspace-first projection,"Find the workspace, then its terminal."
16,workspace-search,hetzner,02 · Workspaces & roots,page,New: workspace search,Find a workspace by name.
17,host-tools,hetzner,02 · Workspaces & roots,sheet,Tree header actions,Reach occasional host utilities.
18,add-workspace,Add workspace,02 · Workspaces & roots,page,New: root-scoped folder picker,Choose a workspace within the selected root.
19,folder-browser,Choose folder,02 · Workspaces & roots,page,New: nested folder picker,"Use a nested folder, not just a root’s first child."
20,create-folder,Create folder,02 · Workspaces & roots,sheet,New: folder creation,Start from a folder that does not exist yet.
21,create-folder-error,Create folder,02 · Workspaces & roots,sheet,New: create validation,Recover without losing the folder choice.
22,workspace,pocketshell,02 · Workspaces & roots,page,New: workspace/{hostId}/{path},Open a terminal or start another session here.
23,workspace-empty,new-project,02 · Workspaces & roots,page,New: empty workspace,Start the first terminal in a workspace.
24,workspace-actions,pocketshell,02 · Workspaces & roots,sheet,New: workspace actions,Manage workspace presentation.
25,remove-workspace,Remove from list?,02 · Workspaces & roots,sheet,New: remove workspace,Unpin without destroying work.
26,roots,Project roots,02 · Workspaces & roots,page,WorkspaceRoots,Choose where workspaces live.
27,add-root,Add project root,02 · Workspaces & roots,page,WorkspaceRoots: add,Register a remote root.
28,root-actions,~/git,02 · Workspaces & roots,sheet,New: root actions,Create a session at ~/git itself.
29,root-session,hetzner,02 · Workspaces & roots,page,New: root-local session,Find the terminal started directly in ~/git.
30,reorder,Reorder workspaces,02 · Workspaces & roots,page,New: manual order,Arrange projects once.
31,host-offline,hetzner,02 · Workspaces & roots,page,Tree: offline,Keep context during network failure.
32,host-empty,hetzner,02 · Workspaces & roots,page,Tree: empty root,Add a first workspace in a registered root.
33,new-session,New session,03 · Start & use terminals,sheet,CreateSessionSheet,Start another terminal in the current folder.
34,session-options,Session options,03 · Start & use terminals,sheet,CreateSessionSheet: advanced,Override launch defaults deliberately.
